Idiom	Context	Meaning	Explanation	Language
a sorry sight	Our son was a sorry sight after his six-month-long trip around Southeast Asia on his own, looking skinny, dirty, and threadbare. But he said he had the best time of his life.	Someone or something that has a piteous, woeful, or wretched appearance.  	Alguien o algo que tiene una apariencia lastimera, lamentable o miserable.	Spanish
a sorry sight	Our son was a sorry sight after his six-month-long trip around Southeast Asia on his own, looking skinny, dirty, and threadbare. But he said he had the best time of his life.	Someone or something that has a piteous, woeful, or wretched appearance.  	Jemand oder etwas, das ein erbärmliches, trauriges oder elendes Aussehen hat.	German
rule of thumb	A good rule of thumb is to plant your seedlings around the end of May.	An approximation; a suggested method or guideline. 	Una aproximación; un método o guía sugerida.	Spanish
rule of thumb	A good rule of thumb is to plant your seedlings around the end of May.	An approximation; a suggested method or guideline. 	Eine Annäherung; eine vorgeschlagene Methode oder Richtlinie.	German
carpe diem	You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Carpe diem!	Enjoy and make the most of the present, especially opportunities as they arise. A Latin phrase used by the Roman poet Horace 65–8 BCE, it is popularly translated as "seize the day." 	Disfruta y aprovecha al máximo el presente, especialmente las oportunidades que se presenten. Frase latina utilizada por el poeta romano Horacio entre el 65 y el 8 a. C. y se traduce popularmente como "aprovecha el día".	Spanish
carpe diem	You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Carpe diem!	Enjoy and make the most of the present, especially opportunities as they arise. A Latin phrase used by the Roman poet Horace 65–8 BCE, it is popularly translated as "seize the day." 	Genießen Sie die Gegenwart und nutzen Sie sie optimal, insbesondere die sich bietenden Gelegenheiten. Eine lateinische Phrase, die der römische Dichter Horaz 65–8 v. Chr. verwendete und die im Volksmund mit „Nutze den Tag“ übersetzt wird.	German
off the record	Our official position is that he decided to change careers, but, off the record, he was fired for making inappropriate comments to his staff.	Not recorded for official publication; informally; in confidence. Often hyphenated.  	No registrado para publicación oficial; informalmente; confidencialmente. A menudo con guiones.	Spanish
off the record	Our official position is that he decided to change careers, but, off the record, he was fired for making inappropriate comments to his staff.	Not recorded for official publication; informally; in confidence. Often hyphenated.  	Nicht zur offiziellen Veröffentlichung aufgezeichnet; informell; im Vertrauen. Oft mit Bindestrich.	German
thank goodness	Oh, thank goodness—I thought I'd lost this precious heirloom!	An expression of relief. 	Una expresión de alivio.	Spanish
thank goodness	Oh, thank goodness—I thought I'd lost this precious heirloom!	An expression of relief. 	Ein Ausdruck der Erleichterung.	German
big bucks	I wasn't looking for a new job, but I couldn't say no to one that offered me big bucks.	A lot of money.  	Mucho dinero.	Spanish
big bucks	I wasn't looking for a new job, but I couldn't say no to one that offered me big bucks.	A lot of money.  	Eine Menge Geld.	German
dog days	As a kid, I loved lounging in the swimming pool during the dog days of summer.	Hot, sultry summer weather; also, a period of stagnation. For example, It's hard to get much work done during the dog days, or Every winter there's a week or two of dog days when sales drop dramatically. The term alludes to the period between early July and early September, when Sirius, the so-called Dog Star, rises and sets with the sun. The ancient Romans called this phenomenon dies caniculares, which was translated as "dog days" in the first half of the 1500s. 	Clima caluroso y bochornoso de verano; también, un período de estancamiento. Por ejemplo, es difícil trabajar mucho durante los días de perros, o Cada invierno hay una semana o dos de días de perros en los que las ventas caen dramáticamente. El término alude al período comprendido entre principios de julio y principios de septiembre, cuando Sirio, la llamada Estrella Perro, sale y se pone con el sol. Los antiguos romanos llamaron a este fenómeno dies caniculares, que en la primera mitad del siglo XVI se tradujo como "días de perros".	Spanish
dog days	As a kid, I loved lounging in the swimming pool during the dog days of summer.	Hot, sultry summer weather; also, a period of stagnation. For example, It's hard to get much work done during the dog days, or Every winter there's a week or two of dog days when sales drop dramatically. The term alludes to the period between early July and early September, when Sirius, the so-called Dog Star, rises and sets with the sun. The ancient Romans called this phenomenon dies caniculares, which was translated as "dog days" in the first half of the 1500s. 	Heißes, schwüles Sommerwetter; auch eine Zeit der Stagnation. Beispielsweise ist es schwierig, während der Hundetage viel Arbeit zu erledigen, oder jeden Winter gibt es ein oder zwei Wochen lang Hundetage, an denen die Verkäufe dramatisch zurückgehen. Der Begriff bezieht sich auf die Zeit zwischen Anfang Juli und Anfang September, wenn Sirius, der sogenannte Hundestern, mit der Sonne auf- und untergeht. Die alten Römer nannten dieses Phänomen „dies caniculares“, was in der ersten Hälfte des 16. Jahrhunderts mit „Hundstage“ übersetzt wurde.	German
just deserts	The CEO cheated his clients out of nearly $4 million, but he got his just deserts when he was stripped of everything he owned and sent to prison.	That which one deserves, especially a punishment or unfavorable outcome. Usually used in the phrase "get/receive one's just deserts."	Lo que se merece, especialmente un castigo o resultado desfavorable. Generalmente se usa en la frase "obtener/recibir lo que uno merece".	Spanish
just deserts	The CEO cheated his clients out of nearly $4 million, but he got his just deserts when he was stripped of everything he owned and sent to prison.	That which one deserves, especially a punishment or unfavorable outcome. Usually used in the phrase "get/receive one's just deserts."	Das, was man verdient, insbesondere eine Strafe oder ein ungünstiges Ergebnis. Wird normalerweise in der Phrase „jemandes bekommen/erhalten, was ihm gerecht wird“ verwendet.	German
an arm and a leg	College tuitions cost an arm and leg nowadays.	slang A lot of money.  	jerga Mucho dinero.	Spanish
an arm and a leg	College tuitions cost an arm and leg nowadays.	slang A lot of money.  	Slang: Viel Geld.	German
never mind	Never you mind his remarks—he's just jealous.	Don't worry or bother about something.  	No te preocupes ni te molestes por algo.	Spanish
never mind	Never you mind his remarks—he's just jealous.	Don't worry or bother about something.  	Mach dir keine Sorgen oder kümmere dich um nichts.	German
pin money	Even though her crafts are beautiful, Susan only makes pin money by selling them—it's her husband's job that pays the bills.	A small amount of money used for treats or other minor expenses. 	Una pequeña cantidad de dinero utilizada para golosinas u otros gastos menores.	Spanish
pin money	Even though her crafts are beautiful, Susan only makes pin money by selling them—it's her husband's job that pays the bills.	A small amount of money used for treats or other minor expenses. 	Ein kleiner Geldbetrag, der für Leckereien oder andere kleinere Ausgaben verwendet wird.	German
third time lucky	I hope to make it third time lucky after failing this test twice already!	The belief or hope that the third attempt at something will be successful. Primarily heard in UK. 	La creencia o esperanza de que el tercer intento de algo tendrá éxito. Se escucha principalmente en el Reino Unido.	Spanish
third time lucky	I hope to make it third time lucky after failing this test twice already!	The belief or hope that the third attempt at something will be successful. Primarily heard in UK. 	Der Glaube oder die Hoffnung, dass der dritte Versuch erfolgreich sein wird. Hauptsächlich in Großbritannien zu hören.	German
race against time	It was now a race against time to rescue people from the freezing water.	A race against time is a situation in which you only have a very short time to finish an important task and you have to work very quickly.  	Una carrera contra el tiempo es una situación en la que tienes muy poco tiempo para terminar una tarea importante y tienes que trabajar muy rápido.	Spanish
race against time	It was now a race against time to rescue people from the freezing water.	A race against time is a situation in which you only have a very short time to finish an important task and you have to work very quickly.  	Ein Wettlauf gegen die Zeit ist eine Situation, in der man nur sehr wenig Zeit hat, eine wichtige Aufgabe zu erledigen und sehr schnell arbeiten muss.	German
cheek by jowl	You couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there cheek by jowl.	Positioned very close together. The cheek and the jowl—the lower part of the jaw—are in close proximity to each other on the face. 	Colocados muy juntos. La mejilla y la papada (la parte inferior de la mandíbula) están muy cerca entre sí en la cara.	Spanish
cheek by jowl	You couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there cheek by jowl.	Positioned very close together. The cheek and the jowl—the lower part of the jaw—are in close proximity to each other on the face. 	Sehr nah beieinander positioniert. Die Wange und der Kiefer – der untere Teil des Kiefers – liegen im Gesicht nahe beieinander.	German
black and blue	I'm probably going to be black and blue after falling down the steps this morning.	Bruised, either physically or emotionally.  	Magullado, ya sea física o emocionalmente.	Spanish
black and blue	I'm probably going to be black and blue after falling down the steps this morning.	Bruised, either physically or emotionally.  	Zerschlagen, sei es körperlich oder emotional.	German
dead wood	It is now time for the dead wood at the top of the party to be cut away.	If you describe someone or something as dead wood, you mean that they are no longer useful or effective in a particular organization or situation and you want to get rid of them.  	Si describe a alguien o algo como madera muerta, quiere decir que ya no es útil o eficaz en una organización o situación particular y desea deshacerse de él.	Spanish
dead wood	It is now time for the dead wood at the top of the party to be cut away.	If you describe someone or something as dead wood, you mean that they are no longer useful or effective in a particular organization or situation and you want to get rid of them.  	Wenn Sie jemanden oder etwas als totes Holz bezeichnen, meinen Sie, dass es in einer bestimmten Organisation oder Situation nicht mehr nützlich oder effektiv ist und Sie es loswerden möchten.	German
pigs might fly	A: "If we could just get Democrats and Republicans to agree on a tax reform bill, we could bring the deficit down in no time." B: "Yeah, and pigs might fly!"	There is no chance of that ever happening. Used to show skepticism or cynicism about someone's hypothetical remark. 	No hay ninguna posibilidad de que eso suceda alguna vez. Se utiliza para mostrar escepticismo o cinismo sobre el comentario hipotético de alguien.	Spanish
pigs might fly	A: "If we could just get Democrats and Republicans to agree on a tax reform bill, we could bring the deficit down in no time." B: "Yeah, and pigs might fly!"	There is no chance of that ever happening. Used to show skepticism or cynicism about someone's hypothetical remark. 	Es besteht keine Chance, dass das jemals passiert. Wird verwendet, um Skepsis oder Zynismus gegenüber einer hypothetischen Bemerkung einer Person zum Ausdruck zu bringen.	German
poetry in motion	The ballet was sublime to watch, truly poetry in motion.	Something that is very elegant, graceful, and/or beautiful to observe, especially dance or the performing arts. 	Algo que sea muy elegante, grácil y/o hermoso de observar, especialmente la danza o las artes escénicas.	Spanish
poetry in motion	The ballet was sublime to watch, truly poetry in motion.	Something that is very elegant, graceful, and/or beautiful to observe, especially dance or the performing arts. 	Etwas, das sehr elegant, anmutig und/oder schön anzusehen ist, insbesondere Tanz oder darstellende Künste.	German
dressed up to the nines	I have to be dressed to the nines at this gala tonight—a lot of important people will be there.	Very well-dressed and fashionable, typically for a formal event.  	Muy bien vestido y a la moda, típicamente para un evento formal.	Spanish
dressed up to the nines	I have to be dressed to the nines at this gala tonight—a lot of important people will be there.	Very well-dressed and fashionable, typically for a formal event.  	Sehr gut gekleidet und modisch, typisch für eine formelle Veranstaltung.	German
a shot in the arm	Having a member of the royal family taking part in the sport has provided a massive shot in the arm.	A stimulus or booster, something vitalizing or encouraging, as in Getting a new concertmaster was a real shot in the arm for the orchestra. This colloquial expression alludes to a stimulant given by injection. [c. 1920] 	Un estímulo o un refuerzo, algo vitalizador o alentador, como en Conseguir un nuevo concertino fue un auténtico estímulo para la orquesta. Esta expresión coloquial alude a un estimulante que se administra mediante inyección. [C. 1920]	Spanish
a shot in the arm	Having a member of the royal family taking part in the sport has provided a massive shot in the arm.	A stimulus or booster, something vitalizing or encouraging, as in Getting a new concertmaster was a real shot in the arm for the orchestra. This colloquial expression alludes to a stimulant given by injection. [c. 1920] 	Ein Ansporn oder Anstoß, etwas Belebendes oder Ermutigendes, wie etwa bei der Anstellung eines neuen Konzertmeisters, war für das Orchester ein echter Gewinn. Dieser umgangssprachliche Ausdruck bezieht sich auf ein durch Injektion verabreichtes Stimulans. [C. 1920]	German
below the salt	Robert's tech firm bankrupted last month, so I guess he's back to sitting below the salt with us again.	In or at a position of low or common standing, rank, regard, or repute. The term is derived from the social hierarchy of nobility in medieval times, in which salt, a precious commodity then, was set in the middle of the dining table. Those of high noble rank were seated "above the salt," that is, closer to the lord and lady of the house, while those in lower social standing were seated "below" it.  	En o en una posición de posición, rango, consideración o reputación baja o común. El término se deriva de la jerarquía social de la nobleza en la época medieval, en la que la sal, un bien preciado entonces, se colocaba en el centro de la mesa del comedor. Los de alto rango noble se sentaban "encima de la sal", es decir, más cerca del señor y la señora de la casa, mientras que los de menor estatus social se sentaban "debajo" de ella.	Spanish
below the salt	Robert's tech firm bankrupted last month, so I guess he's back to sitting below the salt with us again.	In or at a position of low or common standing, rank, regard, or repute. The term is derived from the social hierarchy of nobility in medieval times, in which salt, a precious commodity then, was set in the middle of the dining table. Those of high noble rank were seated "above the salt," that is, closer to the lord and lady of the house, while those in lower social standing were seated "below" it.  	In oder in einer Position von niedrigem oder allgemeinem Ansehen, Rang, Ansehen oder Ansehen. Der Begriff leitet sich von der sozialen Hierarchie des Adels im Mittelalter ab, in der Salz, ein damals kostbares Gut, in die Mitte des Esstisches gestellt wurde. Diejenigen mit hohem Adelsstand saßen „über dem Salz“, das heißt näher beim Herrn und der Dame des Hauses, während diejenigen mit niedrigerem sozialen Status „unter“ dem Salz saßen.	German
golden age	This Halloween, we're having a marathon of all the monster movies from the golden age of cinema.	A period of or defined by outstanding excellence, quality, prosperity, or achievement.  	Un período de excelencia, calidad, prosperidad o logros excepcionales o definido por ellos.	Spanish
golden age	This Halloween, we're having a marathon of all the monster movies from the golden age of cinema.	A period of or defined by outstanding excellence, quality, prosperity, or achievement.  	Ein Zeitraum, der durch herausragende Exzellenz, Qualität, Wohlstand oder Leistung gekennzeichnet ist.	German
in limbo	He was terrified that he would be trapped in limbo if a priest didn't hear his final confession before he died.	In a spiritual state between heaven and hell after death. 	En un estado espiritual entre el cielo y el infierno después de la muerte.	Spanish
in limbo	He was terrified that he would be trapped in limbo if a priest didn't hear his final confession before he died.	In a spiritual state between heaven and hell after death. 	In einem spirituellen Zustand zwischen Himmel und Hölle nach dem Tod.	German
beyond words	I am just thrilled beyond words that so many of you were able to come to our baby shower!	such a great degree that one has been left speechless, whether literally or figuratively.  	Hasta tal punto que uno se queda sin palabras, ya sea en sentido literal o figurado.	Spanish
beyond words	I am just thrilled beyond words that so many of you were able to come to our baby shower!	such a great degree that one has been left speechless, whether literally or figuratively.  	so sehr, dass man sprachlos war, sei es im wörtlichen oder übertragenen Sinne.	German
on the horns of a dilemma	I'm really on the horns of a dilemma here—do I say no to this great job opportunity, or do I accept it and move away from my family?	Struggling to choose between two problematic or unappealing options. ?	Luchando por elegir entre dos opciones problemáticas o poco atractivas. ?	Spanish
on the horns of a dilemma	I'm really on the horns of a dilemma here—do I say no to this great job opportunity, or do I accept it and move away from my family?	Struggling to choose between two problematic or unappealing options. ?	Es fällt Ihnen schwer, zwischen zwei problematischen oder unattraktiven Optionen zu wählen. ?	German
give me five	I hear you aced your final exams! Give me five!	A request to give the speaker a "high five," that is, to slap their usually raised hand with one's own, as in a show of congratulation or celebration. "Five" refers to the hand's five fingers. "Gimme" is a colloquial form of "give me."  	Una solicitud para "chocar los cinco" del orador, es decir, golpear la mano que normalmente levanta con la propia, como en una muestra de felicitación o celebración. "Cinco" se refiere a los cinco dedos de la mano. "Dame" es una forma coloquial de "dame".	Spanish
give me five	I hear you aced your final exams! Give me five!	A request to give the speaker a "high five," that is, to slap their usually raised hand with one's own, as in a show of congratulation or celebration. "Five" refers to the hand's five fingers. "Gimme" is a colloquial form of "give me."  	Eine Aufforderung, dem Redner ein „High Five“ zu geben, d. „Fünf“ bezieht sich auf die fünf Finger der Hand. „Gimme“ ist eine umgangssprachliche Form von „gib mir“.	German
in the heat of the moment	The argument got pretty nasty, and, in the heat of the moment, we both said some things we really regret.	At a moment when one is overly angry, excited, or eager, without pausing to consider the consequences.  	En un momento en el que uno está demasiado enojado, emocionado o ansioso, sin detenerse a considerar las consecuencias.	Spanish
in the heat of the moment	The argument got pretty nasty, and, in the heat of the moment, we both said some things we really regret.	At a moment when one is overly angry, excited, or eager, without pausing to consider the consequences.  	In einem Moment, in dem man übermäßig wütend, aufgeregt oder eifrig ist, ohne innezuhalten, um über die Konsequenzen nachzudenken.	German
fit as a fiddle	Yes, I did have surgery a few months ago, but I'm as fit as a fiddle now.	In good health.  	En buena salud.	Spanish
fit as a fiddle	Yes, I did have surgery a few months ago, but I'm as fit as a fiddle now.	In good health.  	Bei guter Gesundheit.	German
charity begins at home	When are you going to get your dear sister a job at your company? Remember, charity begins at home!	proverb One should help family and close friends before helping others.  	proverbio Uno debe ayudar a la familia y a los amigos cercanos antes de ayudar a los demás.	Spanish
charity begins at home	When are you going to get your dear sister a job at your company? Remember, charity begins at home!	proverb One should help family and close friends before helping others.  	Sprichwort: Man sollte der Familie und engen Freunden helfen, bevor man anderen hilft.	German
syrup of figs	Oh, he's wearing a syrup of figs for sure—there's no way he still has that much hair at his age.	slang A wig. The term comes from rhyming slang in which "figs" rhymes with "wig." Syrup of figs is a laxative. Primarily heard in UK. 	jerga Una peluca. El término proviene de la jerga rimada en la que "figs" rima con "wig". El jarabe de higos es un laxante. Se escucha principalmente en el Reino Unido.	Spanish
syrup of figs	Oh, he's wearing a syrup of figs for sure—there's no way he still has that much hair at his age.	slang A wig. The term comes from rhyming slang in which "figs" rhymes with "wig." Syrup of figs is a laxative. Primarily heard in UK. 	Slang Eine Perücke. Der Begriff stammt aus dem reimenden Slang, in dem sich „Feigen“ auf „Perücke“ reimen. Feigensirup ist ein Abführmittel. Hauptsächlich in Großbritannien zu hören.	German
against time	The team worked against time to get the project completed before midnight.	In a very limited amount of time; with a shortage of time being the main problem. 	En un período de tiempo muy limitado; siendo la falta de tiempo el principal problema.	Spanish
against time	The team worked against time to get the project completed before midnight.	In a very limited amount of time; with a shortage of time being the main problem. 	In einer sehr begrenzten Zeit; wobei Zeitmangel das Hauptproblem darstellt.	German
in a nutshell	In a nutshell, the app helps you to plan parties.	In summary; concisely.  	En resumen; de manera concisa.	Spanish
in a nutshell	In a nutshell, the app helps you to plan parties.	In summary; concisely.  	In Summe; prägnant.	German
by the numbers	If we all focus and do this by the numbers, then we should have no trouble getting it finished.	Exactly as the rules, directions, or plans dictate.  	Exactamente como lo dictan las reglas, instrucciones o planes.	Spanish
by the numbers	If we all focus and do this by the numbers, then we should have no trouble getting it finished.	Exactly as the rules, directions, or plans dictate.  	Genau so, wie es die Regeln, Anweisungen oder Pläne vorschreiben.	German
nest egg	With the cost of living these days, it is difficult for young couples to build a nest egg and save for retirement.	An allotment of money that is set aside for the future. 	Una asignación de dinero que se reserva para el futuro.	Spanish
nest egg	With the cost of living these days, it is difficult for young couples to build a nest egg and save for retirement.	An allotment of money that is set aside for the future. 	Ein Geldbetrag, der für die Zukunft reserviert wird.	German
shelf life	Milk has a very short shelf life, as it tends to expire quickly.	The length of time that something is viable or useful.  	El período de tiempo que algo es viable o útil.	Spanish
shelf life	Milk has a very short shelf life, as it tends to expire quickly.	The length of time that something is viable or useful.  	Die Zeitspanne, in der etwas lebensfähig oder nützlich ist.	German
flotsam and jetsam	We found cornflake packets, bottles, and all the flotsam and jetsam of the kitchen.	Flotsam and jetsam is used to refer to small or unimportant items that are found together, usually in an untidy way. 	Flotsam y jetsam se utilizan para referirse a elementos pequeños o sin importancia que se encuentran juntos, generalmente de forma desordenada.	Spanish
flotsam and jetsam	We found cornflake packets, bottles, and all the flotsam and jetsam of the kitchen.	Flotsam and jetsam is used to refer to small or unimportant items that are found together, usually in an untidy way. 	Mit Treibgut und Strandgut werden kleine oder unwichtige Gegenstände bezeichnet, die normalerweise unordentlich zusammengefunden werden.	German
on the fence	You can't stay on the fence any longer—you need to choose which of the two candidates we should hire.	Not making a decision or taking a side when presented with two options or possibilities; undecided.  	No tomar una decisión o tomar partido cuando se le presentan dos opciones o posibilidades; indeciso.	Spanish
